State,Date,PopulationEst_2021,LandArea_sqkm,new_case,new_death,Recovered,Total_Confirmed,Total_Confirmed_per10000,Total_Confirmed_per100SqKm,Total_Recovered,Total_Deceased,Total_Deceased_per10000,Total_Deceased_per100SqKm,Total_Tested,First_Dose_Administered,Partial_Vaccination_per100,Second_Dose_Administered,Full_Vaccination_per100,Male_Vaccinated,Female_Vaccinated,Transgender_Vaccinated,Total_Covaxin_Administered,Total_CoviShield_Administered,Total_SputnikV_Administered,18-45_Age,45-60_Age,60up_Age,Total_Doses_Administered,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Andaman and Nicobar Islands,2020-03-14,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-16,-19,-4,-7,-7,6
Andaman and Nicobar Islands,2020-03-15,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-27,-32,-15,-9,-3,
Andaman and Nicobar Islands,2020-03-16,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-18,-11,-10,-7,-1,2
Andaman and Nicobar Islands,2020-03-17,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-24,-20,-25,-13,-4,4
Andaman and Nicobar Islands,2020-03-18,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-21,-20,-31,-14,-9,1
Andaman and Nicobar Islands,2020-03-19,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-16,-4,-21,-14,-7,1
Andaman and Nicobar Islands,2020-03-20,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-50,-43,-50,-31,-29,12
Andaman and Nicobar Islands,2020-03-21,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-57,-45,-49,-40,-34,16
Andaman and Nicobar Islands,2020-03-22,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-80,-85,-68,-61,-41,
Andaman and Nicobar Islands,2020-03-23,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-61,-43,-60,-45,-44,21
Andaman and Nicobar Islands,2020-03-24,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-67,-48,-62,-46,-52,23
Andaman and Nicobar Islands,2020-03-25,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-80,-76,-68,-64,-63,
Andaman and Nicobar Islands,2020-03-26,379944,8249,1,0,0,1,0.0263197,0.0121227,0,0,0,0,,,0,,0,,,,,,,,,,,-80,-80,-65,-63,-66,
Andaman and Nicobar Islands,2020-03-27,379944,8249,5,0,0,6,0.157918,0.0727361,0,0,0,0,,,0,,0,,,,,,,,,,,-78,-79,-70,-66,-63,
Andaman and Nicobar Islands,2020-03-28,379944,8249,3,0,0,9,0.236877,0.109104,0,0,0,0,,,0,,0,,,,,,,,,,,-75,-74,-67,-66,-57,
Andaman and Nicobar Islands,2020-03-29,379944,8249,0,0,0,9,0.236877,0.109104,0,0,0,0,,,0,,0,,,,,,,,,,,-68,-63,-57,-59,-28,
Andaman and Nicobar Islands,2020-03-30,379944,8249,1,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-69,-60,-62,-61,-56,29
Andaman and Nicobar Islands,2020-03-31,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-72,-64,-64,-60,-56,29
Andaman and Nicobar Islands,2020-04-01,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-75,-65,-67,-63,-58,
Andaman and Nicobar Islands,2020-04-02,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-74,-67,-67,-64,-57,
Andaman and Nicobar Islands,2020-04-03,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-76,-70,-65,-64,-57,
Andaman and Nicobar Islands,2020-04-04,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-76,-72,-67,-65,-49,
Andaman and Nicobar Islands,2020-04-05,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-76,-79,-65,-64,-24,
Andaman and Nicobar Islands,2020-04-06,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-75,,-67,-67,-56,31
Andaman and Nicobar Islands,2020-04-07,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-81,,-71,-77,-56,31
Andaman and Nicobar Islands,2020-04-08,379944,8249,1,0,0,11,0.289516,0.133349,0,0,0,0,,,0,,0,,,,,,,,,,,-83,,-72,-78,-54,29
Andaman and Nicobar Islands,2020-04-09,379944,8249,0,0,10,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-82,,-71,-77,-55,29
Andaman and Nicobar Islands,2020-04-10,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-83,,-70,-78,-62,
Andaman and Nicobar Islands,2020-04-11,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-84,,-70,-79,-48,
Andaman and Nicobar Islands,2020-04-12,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-83,,-69,-78,-24,
Andaman and Nicobar Islands,2020-04-13,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-80,,-70,-77,-50,28
Andaman and Nicobar Islands,2020-04-14,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-83,,-72,-77,-62,
Andaman and Nicobar Islands,2020-04-15,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-82,,-69,-75,-51,27
Andaman and Nicobar Islands,2020-04-16,379944,8249,0,0,1,11,0.289516,0.133349,11,0,0,0,,,0,,0,,,,,,,,,,,-87,,-69,-79,-52,29
Andaman and Nicobar Islands,2020-04-17,379944,8249,1,0,0,12,0.315836,0.145472,11,0,0,0,1403,,0,,0,,,,,,,,,,,-86,,-70,-80,-49,31
Andaman and Nicobar Islands,2020-04-18,379944,8249,2,0,0,14,0.368475,0.169718,11,0,0,0,,,0,,0,,,,,,,,,,,-88,,-72,-82,-46,
Andaman and Nicobar Islands,2020-04-19,379944,8249,1,0,0,15,0.394795,0.18184,11,0,0,0,,,0,,0,,,,,,,,,,,-87,,-71,-83,-25,
Andaman and Nicobar Islands,2020-04-20,379944,8249,1,0,0,16,0.421115,0.193963,11,0,0,0,,,0,,0,,,,,,,,,,,-86,,-72,-80,-49,29
Andaman and Nicobar Islands,2020-04-21,379944,8249,1,0,0,17,0.447434,0.206086,11,0,0,0,,,0,,0,,,,,,,,,,,-88,,-71,-82,-52,30
Andaman and Nicobar Islands,2020-04-22,379944,8249,1,0,0,18,0.473754,0.218208,11,0,0,0,,,0,,0,,,,,,,,,,,-88,,-73,-81,-51,29
Andaman and Nicobar Islands,2020-04-23,379944,8249,4,0,0,22,0.579033,0.266699,11,0,0,0,,,0,,0,,,,,,,,,,,-88,,-71,-82,-52,30
Andaman and Nicobar Islands,2020-04-24,379944,8249,7,0,0,29,0.76327,0.351558,11,0,0,0,2679,,0,,0,,,,,,,,,,,-88,,-73,-82,-50,30
Andaman and Nicobar Islands,2020-04-25,379944,8249,4,0,0,33,0.868549,0.400048,11,0,0,0,,,0,,0,,,,,,,,,,,-92,,-74,-86,-55,
Andaman and Nicobar Islands,2020-04-26,379944,8249,0,0,0,33,0.868549,0.400048,11,0,0,0,,,0,,0,,,,,,,,,,,-91,,-72,-85,-28,
Andaman and Nicobar Islands,2020-04-27,379944,8249,0,0,0,33,0.868549,0.400048,11,0,0,0,2848,,0,,0,,,,,,,,,,,-87,,-75,-81,-49,30
Andaman and Nicobar Islands,2020-04-28,379944,8249,0,0,4,33,0.868549,0.400048,15,0,0,0,,,0,,0,,,,,,,,,,,-88,,-71,-81,-50,29
Andaman and Nicobar Islands,2020-04-29,379944,8249,0,0,0,33,0.868549,0.400048,15,0,0,0,,,0,,0,,,,,,,,,,,-91,,-72,-81,-54,32
Andaman and Nicobar Islands,2020-04-30,379944,8249,0,0,1,33,0.868549,0.400048,16,0,0,0,,,0,,0,,,,,,,,,,,-86,,-70,-80,-48,30
Andaman and Nicobar Islands,2020-05-01,379944,8249,0,0,0,33,0.868549,0.400048,16,0,0,0,3754,,0,,0,,,,,,,,,,,-88,,-74,-82,-51,31
Andaman and Nicobar Islands,2020-05-02,379944,8249,0,0,10,33,0.868549,0.400048,26,0,0,0,,,0,,0,,,,,,,,,,,-92,,-73,-83,-49,
Andaman and Nicobar Islands,2020-05-03,379944,8249,0,0,6,33,0.868549,0.400048,32,0,0,0,,,0,,0,,,,,,,,,,,-91,,-74,-84,-24,
Andaman and Nicobar Islands,2020-05-04,379944,8249,0,0,0,33,0.868549,0.400048,32,0,0,0,,,0,,0,,,,,,,,,,,-85,,-71,-80,-41,27
Andaman and Nicobar Islands,2020-05-05,379944,8249,0,0,0,33,0.868549,0.400048,32,0,0,0,,,0,,0,,,,,,,,,,,-85,,-70,-79,-43,27
Andaman and Nicobar Islands,2020-05-06,379944,8249,0,0,0,33,0.868549,0.400048,32,0,0,0,,,0,,0,,,,,,,,,,,-89,,-68,-81,-46,30
Andaman and Nicobar Islands,2020-05-07,379944,8249,0,0,1,33,0.868549,0.400048,33,0,0,0,,,0,,0,,,,,,,,,,,-84,,-69,-77,-52,29
Andaman and Nicobar Islands,2020-05-08,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,,,0,,0,,,,,,,,,,,-83,,-69,-74,-35,25
Andaman and Nicobar Islands,2020-05-09,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,,,0,,0,,,,,,,,,,,-87,,-71,-78,-38,27
Andaman and Nicobar Islands,2020-05-10,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,,,0,,0,,,,,,,,,,,-90,,-73,-83,-25,
Andaman and Nicobar Islands,2020-05-11,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,,,0,,0,,,,,,,,,,,-82,,-74,-77,-36,25
Andaman and Nicobar Islands,2020-05-12,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,,,0,,0,,,,,,,,,,,-84,,-76,-77,-40,25
Andaman and Nicobar Islands,2020-05-13,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,,,0,,0,,,,,,,,,,,-86,,-74,-74,-37,23
Andaman and Nicobar Islands,2020-05-14,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,,,0,,0,,,,,,,,,,,-86,,-69,-70,-37,22
Andaman and Nicobar Islands,2020-05-15,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,,,0,,0,,,,,,,,,,,-83,,-69,-68,-31,24
Andaman and Nicobar Islands,2020-05-16,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,6677,,0,,0,,,,,,,,,,,-83,,-70,-68,-28,24
Andaman and Nicobar Islands,2020-05-17,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,,,0,,0,,,,,,,,,,,-90,,-72,-80,-20,
Andaman and Nicobar Islands,2020-05-18,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,,,0,,0,,,,,,,,,,,-79,,-70,-62,-26,22
Andaman and Nicobar Islands,2020-05-19,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,6965,,0,,0,,,,,,,,,,,-80,,-70,-61,-28,20
Andaman and Nicobar Islands,2020-05-20,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7082,,0,,0,,,,,,,,,,,-81,,-78,-50,-35,12
Andaman and Nicobar Islands,2020-05-21,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7167,,0,,0,,,,,,,,,,,-82,,-74,-55,-46,5
Andaman and Nicobar Islands,2020-05-22,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7263,,0,,0,,,,,,,,,,,-81,,-76,-51,-35,14
Andaman and Nicobar Islands,2020-05-23,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7327,,0,,0,,,,,,,,,,,-77,,-69,-38,-26,10
Andaman and Nicobar Islands,2020-05-24,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7327,,0,,0,,,,,,,,,,,-85,,-70,-57,-18,
Andaman and Nicobar Islands,2020-05-25,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7363,,0,,0,,,,,,,,,,,-78,,-68,-45,-51,17
Andaman and Nicobar Islands,2020-05-26,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7448,,0,,0,,,,,,,,,,,-77,,-68,-33,-24,9
Andaman and Nicobar Islands,2020-05-27,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7499,,0,,0,,,,,,,,,,,-77,,-68,-35,-28,6
Andaman and Nicobar Islands,2020-05-28,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7519,,0,,0,,,,,,,,,,,-76,,-70,-32,-22,13
Andaman and Nicobar Islands,2020-05-29,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7567,,0,,0,,,,,,,,,,,-76,,-67,-40,-21,16
Andaman and Nicobar Islands,2020-05-30,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7567,,0,,0,,,,,,,,,,,-74,,-70,-36,-17,17
Andaman and Nicobar Islands,2020-05-31,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7706,,0,,0,,,,,,,,,,,-79,,-64,-49,-6,
Andaman and Nicobar Islands,2020-06-01,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,7805,,0,,0,,,,,,,,,,,-68,,-63,-24,-11,13
Andaman and Nicobar Islands,2020-06-02,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,8086,,0,,0,,,,,,,,,,,-71,,-61,-27,-15,14
Andaman and Nicobar Islands,2020-06-03,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,8295,,0,,0,,,,,,,,,,,-71,,-64,-22,-14,14
Andaman and Nicobar Islands,2020-06-04,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,8413,,0,,0,,,,,,,,,,,-69,,-62,-21,-13,12
Andaman and Nicobar Islands,2020-06-05,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,8694,,0,,0,,,,,,,,,,,-71,,-70,-24,-16,12
Andaman and Nicobar Islands,2020-06-06,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,9037,,0,,0,,,,,,,,,,,-72,,-68,-29,-14,13
Andaman and Nicobar Islands,2020-06-07,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,9242,,0,,0,,,,,,,,,,,-77,,-65,-38,-8,
Andaman and Nicobar Islands,2020-06-08,379944,8249,0,0,0,33,0.868549,0.400048,33,0,0,0,9341,,0,,0,,,,,,,,,,,-64,,-65,-16,-7,11
Andaman and Nicobar Islands,2020-06-09,379944,8249,1,0,0,34,0.894869,0.412171,33,0,0,0,9859,,0,,0,,,,,,,,,,,-73,,-67,-26,-12,12
Andaman and Nicobar Islands,2020-06-10,379944,8249,1,0,0,35,0.921188,0.424294,33,0,0,0,10010,,0,,0,,,,,,,,,,,-65,,-62,-11,-10,9
Andaman and Nicobar Islands,2020-06-11,379944,8249,3,0,0,38,1.00015,0.460662,33,0,0,0,10226,,0,,0,,,,,,,,,,,-62,,-61,-17,-10,12
Andaman and Nicobar Islands,2020-06-12,379944,8249,0,0,0,38,1.00015,0.460662,33,0,0,0,10697,,0,,0,,,,,,,,,,,-64,,-63,-15,-9,12
Andaman and Nicobar Islands,2020-06-13,379944,8249,0,0,0,38,1.00015,0.460662,33,0,0,0,10955,,0,,0,,,,,,,,,,,-61,,-63,-19,-15,12
Andaman and Nicobar Islands,2020-06-14,379944,8249,2,0,0,40,1.05279,0.484907,33,0,0,0,11356,,0,,0,,,,,,,,,,,-69,,-58,-27,0,
Andaman and Nicobar Islands,2020-06-15,379944,8249,1,0,0,41,1.07911,0.49703,33,0,0,0,11518,,0,,0,,,,,,,,,,,-60,,-65,-17,-11,12
Andaman and Nicobar Islands,2020-06-16,379944,8249,3,0,0,44,1.15807,0.533398,33,0,0,0,11809,,0,,0,,,,,,,,,,,-67,,-65,-18,-13,12
Andaman and Nicobar Islands,2020-06-17,379944,8249,0,0,0,44,1.15807,0.533398,33,0,0,0,12239,,0,,0,,,,,,,,,,,-64,,-65,-15,-15,12
Andaman and Nicobar Islands,2020-06-18,379944,8249,1,0,2,45,1.18439,0.545521,35,0,0,0,12622,,0,,0,,,,,,,,,,,-64,,-62,-20,-15,11
Andaman and Nicobar Islands,2020-06-19,379944,8249,2,0,0,47,1.23702,0.569766,35,0,0,0,12930,,0,,0,,,,,,,,,,,-61,,-63,-21,-12,12
Andaman and Nicobar Islands,2020-06-20,379944,8249,0,0,0,47,1.23702,0.569766,35,0,0,0,13320,,0,,0,,,,,,,,,,,-57,,-63,-20,-13,11
Andaman and Nicobar Islands,2020-06-21,379944,8249,1,0,2,48,1.26334,0.581889,37,0,0,0,13434,,0,,0,,,,,,,,,,,-67,,-64,-36,-5,
Andaman and Nicobar Islands,2020-06-22,379944,8249,0,0,0,48,1.26334,0.581889,37,0,0,0,13511,,0,,0,,,,,,,,,,,-55,,-61,-16,-9,10
Andaman and Nicobar Islands,2020-06-23,379944,8249,2,0,3,50,1.31598,0.606134,40,0,0,0,13723,,0,,0,,,,,,,,,,,-54,,-61,-15,-11,12
Andaman and Nicobar Islands,2020-06-24,379944,8249,6,0,1,56,1.4739,0.67887,41,0,0,0,13994,,0,,0,,,,,,,,,,,-57,,-60,-10,-10,10
Andaman and Nicobar Islands,2020-06-25,379944,8249,2,0,0,58,1.52654,0.703116,41,0,0,0,14277,,0,,0,,,,,,,,,,,-58,,-60,-15,-10,11
Andaman and Nicobar Islands,2020-06-26,379944,8249,14,0,2,72,1.89502,0.872833,43,0,0,0,14583,,0,,0,,,,,,,,,,,-56,,-60,-17,-10,11
Andaman and Nicobar Islands,2020-06-27,379944,8249,0,0,0,72,1.89502,0.872833,43,0,0,0,14851,,0,,0,,,,,,,,,,,-57,,-61,-20,-14,13
Andaman and Nicobar Islands,2020-06-28,379944,8249,11,0,2,83,2.18453,1.00618,45,0,0,0,15094,,0,,0,,,,,,,,,,,-71,,-61,-34,-8,
Andaman and Nicobar Islands,2020-06-29,379944,8249,7,0,0,90,2.36877,1.09104,45,0,0,0,15410,,0,,0,,,,,,,,,,,-63,,-63,-25,-10,12
Andaman and Nicobar Islands,2020-06-30,379944,8249,7,0,0,97,2.55301,1.1759,45,0,0,0,15709,,0,,0,,,,,,,,,,,-48,,-61,-18,-12,10
Andaman and Nicobar Islands,2020-07-01,379944,8249,3,0,5,100,2.63197,1.21227,50,0,0,0,15982,,0,,0,,,,,,,,,,,-51,,-57,-16,-12,9
Andaman and Nicobar Islands,2020-07-02,379944,8249,9,0,1,109,2.86884,1.32137,51,0,0,0,16278,,0,,0,,,,,,,,,,,-51,,-61,-19,-12,13
Andaman and Nicobar Islands,2020-07-03,379944,8249,7,0,3,116,3.05308,1.40623,54,0,0,0,16626,,0,,0,,,,,,,,,,,-54,,-65,-22,-9,15
Andaman and Nicobar Islands,2020-07-04,379944,8249,3,0,12,119,3.13204,1.4426,66,0,0,0,16832,,0,,0,,,,,,,,,,,-47,,-59,-18,-9,13
Andaman and Nicobar Islands,2020-07-05,379944,8249,6,0,6,125,3.28996,1.51534,72,0,0,0,16909,,0,,0,,,,,,,,,,,-61,,-58,-32,-4,
Andaman and Nicobar Islands,2020-07-06,379944,8249,16,0,2,141,3.71107,1.7093,74,0,0,0,17095,,0,,0,,,,,,,,,,,-47,,-57,-16,-8,10
Andaman and Nicobar Islands,2020-07-07,379944,8249,6,0,0,147,3.86899,1.78203,74,0,0,0,17381,,0,,0,,,,,,,,,,,-51,,-58,-19,-10,13
Andaman and Nicobar Islands,2020-07-08,379944,8249,2,0,0,149,3.92163,1.80628,74,0,0,0,17643,,0,,0,,,,,,,,,,,-56,,-61,-18,-10,12
Andaman and Nicobar Islands,2020-07-09,379944,8249,7,0,9,156,4.10587,1.89114,83,0,0,0,17852,,0,,0,,,,,,,,,,,-49,,-57,-18,-12,11
Andaman and Nicobar Islands,2020-07-10,379944,8249,0,0,9,156,4.10587,1.89114,92,0,0,0,18046,,0,,0,,,,,,,,,,,-47,,-57,-16,-9,11
Andaman and Nicobar Islands,2020-07-11,379944,8249,0,0,0,156,4.10587,1.89114,92,0,0,0,18315,,0,,0,,,,,,,,,,,-52,,-58,-23,-18,11
Andaman and Nicobar Islands,2020-07-12,379944,8249,7,0,8,163,4.29011,1.976,100,0,0,0,18447,,0,,0,,,,,,,,,,,-63,,-58,-34,-5,
Andaman and Nicobar Islands,2020-07-13,379944,8249,3,0,9,166,4.36906,2.01237,109,0,0,0,18609,,0,,0,,,,,,,,,,,-48,,-63,-23,-10,13
Andaman and Nicobar Islands,2020-07-14,379944,8249,5,0,20,171,4.50066,2.07298,129,0,0,0,18884,,0,,0,,,,,,,,,,,-52,,-59,-21,-12,12
Andaman and Nicobar Islands,2020-07-15,379944,8249,5,0,1,176,4.63226,2.13359,130,0,0,0,19061,,0,,0,,,,,,,,,,,-46,,-55,-7,-9,11
Andaman and Nicobar Islands,2020-07-16,379944,8249,4,0,3,180,4.73754,2.18208,133,0,0,0,19227,,0,,0,,,,,,,,,,,-48,,-56,-14,-11,11
Andaman and Nicobar Islands,2020-07-17,379944,8249,0,0,0,184,4.84282,2.23057,142,0,0,0,19421,,0,,0,,,,,,,,,,,-50,,-56,-21,-12,12
Andaman and Nicobar Islands,2020-07-18,379944,8249,4,0,3,188,4.9481,2.27906,145,0,0,0,19671,,0,,0,,,,,,,,,,,-44,,-59,-19,-12,10
Andaman and Nicobar Islands,2020-07-19,379944,8249,15,0,0,203,5.34289,2.4609,145,0,0,0,19904,,0,,0,,,,,,,,,,,-59,,-49,-28,-5,
Andaman and Nicobar Islands,2020-07-20,379944,8249,4,0,6,207,5.44817,2.5094,151,0,0,0,20301,,0,,0,,,,,,,,,,,-40,,-52,-11,-6,9
Andaman and Nicobar Islands,2020-07-21,379944,8249,5,0,8,212,5.57977,2.57001,159,0,0,0,20642,,0,,0,,,,,,,,,,,-48,,-56,-14,-11,12
Andaman and Nicobar Islands,2020-07-22,379944,8249,9,0,4,221,5.81665,2.67911,163,0,0,0,21043,,0,,0,,,,,,,,,,,-50,,-58,-13,-10,12
Andaman and Nicobar Islands,2020-07-23,379944,8249,19,0,7,240,6.31672,2.90944,170,0,0,0,21310,,0,,0,,,,,,,,,,,-50,,-56,-13,-12,11
Andaman and Nicobar Islands,2020-07-24,379944,8249,19,0,4,259,6.81679,3.13977,174,0,0,0,21743,,0,,0,,,,,,,,,,,-45,,-58,-12,-10,12
Andaman and Nicobar Islands,2020-07-25,379944,8249,31,0,2,290,7.6327,3.51558,176,0,0,0,21965,,0,,0,,,,,,,,,,,-46,,-55,-14,-14,13
Andaman and Nicobar Islands,2020-07-26,379944,8249,28,0,4,318,8.36965,3.85501,180,0,0,0,22049,,0,,0,,,,,,,,,,,-61,,-50,-26,-6,
Andaman and Nicobar Islands,2020-07-27,379944,8249,20,1,12,338,8.89605,4.09747,192,1,0.0263197,0.0121227,22548,,0,,0,,,,,,,,,,,-46,,-59,-14,-13,14
Andaman and Nicobar Islands,2020-07-28,379944,8249,25,0,4,363,9.55404,4.40053,196,1,0.0263197,0.0121227,22925,,0,,0,,,,,,,,,,,-47,,-61,-18,-20,14
Andaman and Nicobar Islands,2020-07-29,379944,8249,65,1,5,428,11.2648,5.18851,201,2,0.0526393,0.0242454,23217,,0,,0,,,,,,,,,,,-50,,-63,-19,-20,16
Andaman and Nicobar Islands,2020-07-30,379944,8249,42,1,0,470,12.3702,5.69766,201,3,0.078959,0.036368,23615,,0,,0,,,,,,,,,,,-54,,-61,-28,-23,18
Andaman and Nicobar Islands,2020-07-31,379944,8249,78,2,13,548,14.4232,6.64323,214,5,0.131598,0.0606134,24038,,0,,0,,,,,,,,,,,-48,,-62,-26,-27,19
Andaman and Nicobar Islands,2020-08-01,379944,8249,88,2,12,636,16.7393,7.71003,226,7,0.184238,0.0848588,24308,,0,,0,,,,,,,,,,,-91,,-75,-68,-68,
Andaman and Nicobar Islands,2020-08-02,379944,8249,98,1,16,734,19.3186,8.89805,242,8,0.210557,0.0969815,24580,,0,,0,,,,,,,,,,,-92,,-74,-67,-47,
Andaman and Nicobar Islands,2020-08-03,379944,8249,96,2,21,830,21.8453,10.0618,263,10,0.263197,0.121227,25034,,0,,0,,,,,,,,,,,-51,,-73,-39,-39,19
Andaman and Nicobar Islands,2020-08-04,379944,8249,98,2,14,928,24.4247,11.2498,277,12,0.315836,0.145472,25492,,0,,0,,,,,,,,,,,-62,,-72,-46,-42,24
Andaman and Nicobar Islands,2020-08-05,379944,8249,99,2,49,1027,27.0303,12.45,326,14,0.368475,0.169718,25826,,0,,0,,,,,,,,,,,-76,,-69,-54,-48,27
Andaman and Nicobar Islands,2020-08-06,379944,8249,96,2,29,1123,29.557,13.6138,355,16,0.421115,0.193963,26516,,0,,0,,,,,,,,,,,-75,,-67,-52,-50,29
Andaman and Nicobar Islands,2020-08-07,379944,8249,99,3,70,1222,32.1626,14.8139,425,19,0.500074,0.230331,26915,,0,,0,,,,,,,,,,,-76,,-70,-55,-49,29
Andaman and Nicobar Islands,2020-08-08,379944,8249,129,1,75,1351,35.5579,16.3777,500,20,0.526393,0.242454,27073,,0,,0,,,,,,,,,,,-90,,-76,-67,-64,
Andaman and Nicobar Islands,2020-08-09,379944,8249,139,0,148,1490,39.2163,18.0628,648,20,0.526393,0.242454,27103,,0,,0,,,,,,,,,,,-87,,-75,-64,-37,
Andaman and Nicobar Islands,2020-08-10,379944,8249,135,0,61,1625,42.7695,19.6994,709,20,0.526393,0.242454,27346,,0,,0,,,,,,,,,,,-64,,-64,-35,-37,25
Andaman and Nicobar Islands,2020-08-11,379944,8249,139,1,40,1764,46.4279,21.3844,749,21,0.552713,0.254576,27455,,0,,0,,,,,,,,,,,-66,,-65,-36,-42,28
Andaman and Nicobar Islands,2020-08-12,379944,8249,136,0,80,1900,50.0074,23.0331,829,21,0.552713,0.254576,27744,,0,,0,,,,,,,,,,,-73,,-65,-34,-46,30
Andaman and Nicobar Islands,2020-08-13,379944,8249,137,1,95,2037,53.6132,24.6939,924,22,0.579033,0.266699,27973,,0,,0,,,,,,,,,,,-73,,-64,-37,-46,31
Andaman and Nicobar Islands,2020-08-14,379944,8249,149,2,108,2186,57.5348,26.5002,1032,24,0.631672,0.290944,28129,,0,,0,,,,,,,,,,,-65,,-62,-37,-39,30
Andaman and Nicobar Islands,2020-08-15,379944,8249,120,0,96,2306,60.6932,27.9549,1128,24,0.631672,0.290944,28209,,0,,0,,,,,,,,,,,-87,,-68,-53,-54,
Andaman and Nicobar Islands,2020-08-16,379944,8249,93,4,98,2399,63.1409,29.0823,1226,28,0.736951,0.339435,28229,,0,,0,,,,,,,,,,,-85,,-68,-54,-26,
Andaman and Nicobar Islands,2020-08-17,379944,8249,46,1,99,2445,64.3516,29.64,1325,29,0.76327,0.351558,28672,,0,,0,,,,,,,,,,,,,,,-37,28
