FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
55079,WI,Milwaukee County,43.017655,-87.481575,3926,49771,28.2,12.51%
55091,WI,Pepin County,44.627436,-91.83489,32.2,56348,39.7,23.53%
55105,WI,Rock County,42.669931,-89.075119,223.3,57675,36.4,46.15%
55111,WI,Sauk County,43.427998,-89.943329,74.6,57256,34.4,46.05%
55113,WI,Sawyer County,45.864913,-91.14713,13.2,46490,34.5,20.37%
55127,WI,Walworth County,42.66811,-88.541731,184.2,64234,31.6,6.25%
55129,WI,Washburn County,45.892463,-91.796423,20,50482,35.9,9.68%
55141,WI,Wood County,44.461413,-90.038825,94.2,55879,37.7,2.34%
56015,WY,Goshen County,42.08958,-104.353482,6,51676,29.1,9.09%
56037,WY,Sweetwater County,41.660339,-108.875676,4.2,73315,33.3,10.47%
