FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
01079,AL,Lawrence County,34.529776,-87.321865,49.7,43909,41.5,0.00%
01085,AL,Lowndes County,32.147888,-86.650586,15.8,33973,38.6,0.00%
01099,AL,Monroe County,31.580332,-87.383266,22.5,39556,46.1,0.00%
02070,AK,Dillingham Census Area,59.824816,-158.602233,0.3,54524,39.2,0.00%
02100,AK,Haines Borough,59.099905,-135.578102,1.1,58943,30,0.00%
02130,AK,Ketchikan Gateway Borough,55.449938,-131.106685,2.8,68309,29.9,0.00%
02180,AK,Nome Census Area,64.783686,-164.188912,0.4,55318,42.9,0.00%
02188,AK,Northwest Arctic Borough,67.005066,-160.021086,0.2,59337,47.3,0.00%
02230,AK,Skagway Municipality,59.575097,-135.335418,2.1,74635,23.4,0.00%
04011,AZ,Greenlee County,33.238872,-109.242323,4.6,65818,36.2,0.00%
05117,AR,Prairie County,34.828225,-91.5572,13.4,43245,40,0.00%
06003,CA,Alpine County,38.61761,-119.798999,1.6,55384,28.7,0.00%
06005,CA,Amador County,38.44355,-120.653856,64.1,58515,28.7,0.00%
06021,CA,Glenn County,39.602546,-122.4017,21.4,47365,28.2,0.00%
06057,CA,Nevada County,39.295191,-120.773446,103.1,66681,18.4,0.00%
06091,CA,Sierra County,39.576925,-120.521993,3.4,52308,26.6,0.00%
06105,CA,Trinity County,40.647724,-123.114404,4.3,40680,33.4,0.00%
08009,CO,Baca County,37.303144,-102.535457,1.5,38294,27.3,0.00%
08019,CO,Clear Creek County,39.689403,-105.670791,23,74019,20.9,0.00%
08033,CO,Dolores County,37.747602,-108.530383,1.9,47482,38.3,0.00%
08061,CO,Kiowa County,38.388466,-102.75621,0.8,44704,38,0.00%
08087,CO,Morgan County,40.262354,-103.807092,22,55387,31.1,0.00%
08093,CO,Park County,39.118914,-105.717648,7.4,72121,29.9,0.00%
