FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
01131,AL,Wilcox County,31.99033,-87.302205,13.1,25385,40.3,-100.00%
02150,AK,Kodiak Island Borough,57.553611,-153.630911,2.1,74109,31.3,-100.00%
02195,AK,Petersburg Borough,56.639612,-133.527996,1.2,66075,31.9,-100.00%
02275,AK,Wrangell City and Borough,56.279121,-132.040326,0.9,57832,37.6,-100.00%
05073,AR,Lafayette County,33.24066,-93.611643,14.5,35527,41.3,-100.00%
06003,CA,Alpine County,38.61761,-119.798999,1.6,55384,28.7,-100.00%
06089,CA,Shasta County,40.760522,-122.04355,46.9,53908,24.8,-100.00%
06091,CA,Sierra County,39.576925,-120.521993,3.4,52308,26.6,-100.00%
08051,CO,Gunnison County,38.669679,-107.078108,4.7,61268,16,-100.00%
08057,CO,Jackson County,40.663432,-106.329248,0.9,51457,29.6,-100.00%
13001,GA,Appling County,31.739712,-82.290103,36,42781,38.3,-100.00%
13023,GA,Bleckley County,32.435403,-83.331717,60.5,46019,41.7,-100.00%
13101,GA,Echols County,30.7085,-82.836132,9.7,38667,38.2,-100.00%
13103,GA,Effingham County,32.361711,-81.343337,109.4,65793,37.8,-100.00%
13127,GA,Glynn County,31.212747,-81.496517,189.7,53906,27,-100.00%
13155,GA,Irwin County,31.604306,-83.277037,26.9,38156,40.6,-100.00%
13173,GA,Lanier County,31.038197,-83.063164,54.4,41564,35.7,-100.00%
13183,GA,Long County,31.749563,-81.74287,36.1,46428,31.5,-100.00%
16023,ID,Butte County,43.6851,-113.177627,1.3,50050,36.9,-100.00%
16047,ID,Gooding County,42.973185,-114.82142,21.2,51302,37.2,-100.00%
16049,ID,Idaho County,45.849237,-115.467376,1.9,40569,35.1,-100.00%
17067,IL,Hancock County,40.405792,-91.167988,24.1,53553,38.1,-100.00%
19009,IA,Audubon County,41.679178,-94.904312,13.8,51210,40.1,-100.00%
19053,IA,Decatur County,40.736379,-93.78458,15.9,41101,37.6,-100.00%
20013,KS,Brown County,39.825931,-95.569905,17.5,47529,36,-100.00%
20017,KS,Chase County,38.298553,-96.594064,3.6,50981,27.6,-100.00%
20019,KS,Chautauqua County,37.154259,-96.245396,5.7,41129,35.6,-100.00%
20027,KS,Clay County,39.344964,-97.168853,13.2,52681,29.8,-100.00%
20043,KS,Doniphan County,39.788502,-95.147225,20.2,50949,36,-100.00%
20049,KS,Elk County,37.456026,-96.244642,4.5,37360,40.4,-100.00%
20053,KS,Ellsworth County,38.700845,-98.205355,9.1,50261,34,-100.00%
20065,KS,Graham County,39.349445,-99.880952,2.9,41906,35,-100.00%
20071,KS,Greeley County,38.480408,-101.805984,1.6,51606,29,-100.00%
20107,KS,Linn County,38.216549,-94.844932,16.3,47153,38.5,-100.00%
20117,KS,Marshall County,39.782709,-96.521243,11.2,51066,43.2,-100.00%
20123,KS,Mitchell County,39.393026,-98.207362,9.1,51514,32.7,-100.00%
20129,KS,Morton County,37.18525,-101.809516,4.4,53785,30.8,-100.00%
20135,KS,Ness County,38.480437,-99.908745,2.9,51757,33.7,-100.00%
20137,KS,Norton County,39.783867,-99.899235,6.5,47252,36.6,-100.00%
20151,KS,Pratt County,37.647594,-98.74012,13.1,52567,24.8,-100.00%
20157,KS,Republic County,39.82891,-97.650921,6.9,48566,32.4,-100.00%
20159,KS,Rice County,38.347178,-98.201415,13.9,51686,28.7,-100.00%
20165,KS,Rush County,38.523592,-99.309183,4.6,44121,26.8,-100.00%
20179,KS,Sheridan County,39.350543,-100.441206,2.9,50553,33.2,-100.00%
20195,KS,Trego County,38.921302,-99.865423,3.4,48520,30.6,-100.00%
21063,KY,Elliott County,38.116425,-83.097541,33.5,35446,43.7,-100.00%
21075,KY,Fulton County,36.55262,-89.187723,33.2,32355,38.9,-100.00%
21165,KY,Menifee County,37.950715,-83.597345,31,34002,43.8,-100.00%
21187,KY,Owen County,38.499603,-84.841509,30.9,48998,50,-100.00%
21219,KY,Todd County,36.840338,-87.183642,33.3,51027,38.8,-100.00%
22035,LA,East Carroll Parish,32.73017,-91.234141,18.4,27714,38.8,-100.00%
22065,LA,Madison Parish,32.365824,-91.240729,19.4,28452,39,-100.00%
22123,LA,West Carroll Parish,32.79248,-91.451998,32.3,39332,43.4,-100.00%
22127,LA,Winn Parish,31.941187,-92.641269,16.1,40133,43.8,-100.00%
26013,MI,Baraga County,46.696068,-88.356022,9.9,43435,43.4,-100.00%
29017,MO,Bollinger County,37.318349,-90.024601,20,44233,46.5,-100.00%
29059,MO,Dallas County,37.683583,-93.033812,31,38765,42.1,-100.00%
29067,MO,Douglas County,36.946517,-92.515892,16.8,36762,44.5,-100.00%
29089,MO,Howard County,39.143365,-92.695926,21.9,45767,38.5,-100.00%
29111,MO,Lewis County,40.084559,-91.728803,20.2,48179,45.9,-100.00%
29163,MO,Pike County,39.344178,-91.171042,27.6,43591,45.1,-100.00%
29179,MO,Reynolds County,37.360857,-90.969516,8.3,36592,41.3,-100.00%
29199,MO,Scotland County,40.447686,-92.142824,11.1,42053,39,-100.00%
29211,MO,Sullivan County,40.209587,-93.109783,10.4,41978,49.3,-100.00%
30011,MT,Carter County,45.516825,-104.515324,0.3,47985,36.2,-100.00%
30033,MT,Garfield County,47.281174,-106.982212,0.3,44580,41.6,-100.00%
30045,MT,Judith Basin County,47.032558,-110.30532,1.1,50197,33.4,-100.00%
30051,MT,Liberty County,48.559654,-111.036924,1.6,42742,23.8,-100.00%
30055,MT,McCone County,47.629628,-105.757222,0.7,43650,41.1,-100.00%
30089,MT,Sanders County,47.756469,-115.180225,4.1,39861,42.7,-100.00%
