FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
28015,MS,Carroll County,33.440795,-89.918887,16.9,42588,33.4,50.00%
28017,MS,Chickasaw County,33.921654,-88.945808,34.7,37429,37,50.00%
28025,MS,Clay County,33.661734,-88.783326,50.3,38121,33.9,60.00%
28039,MS,George County,30.855431,-88.642268,47.2,47246,38.9,77.78%
28093,MS,Marshall County,34.76619,-89.504231,52.6,40285,40.1,78.57%
28147,MS,Walthall County,31.164492,-90.103431,38.2,33566,45.8,88.89%
29005,MO,Atchison County,40.431846,-95.437555,10.4,49122,39.6,50.00%
29035,MO,Carter County,36.944783,-90.945626,12.3,34134,37.3,85.71%
29069,MO,Dunklin County,36.153025,-90.062254,59.1,37331,37.4,83.33%
29073,MO,Gasconade County,38.441183,-91.50578,29.4,52282,39.3,92.31%
29157,MO,Perry County,37.71113,-89.802125,40,53871,44.7,71.43%
29165,MO,Platte County,39.378696,-94.761472,212.6,82567,21.8,57.69%
29167,MO,Polk County,37.616761,-93.400817,49,45336,37.1,71.43%
29173,MO,Ralls County,39.553455,-91.524787,21.6,57549,49,50.00%
29229,MO,Wright County,37.267636,-92.48001,27.6,35293,44.2,71.43%
30017,MT,Custer County,46.261481,-105.550508,3.1,50525,29.7,50.00%
30085,MT,Roosevelt County,48.282747,-104.99517,4.4,40179,34.6,66.67%
31013,NE,Box Butte County,42.215665,-103.087821,10.5,57952,33.6,50.00%
31179,NE,Wayne County,42.210746,-97.126243,21.7,55970,25.4,71.43%
32013,NV,Humboldt County,41.407914,-118.127592,1.7,72873,34.3,75.00%
33017,NH,Strafford County,43.293177,-71.035927,333.7,69919,28,58.47%
33019,NH,Sullivan County,43.361188,-72.222084,81.4,60034,37.2,63.64%
34033,NJ,Salem County,39.573828,-75.357356,199.1,64524,37.7,78.12%
34041,NJ,Warren County,40.853524,-75.009542,304.5,77571,31.5,50.00%
35061,NM,Valencia County,34.71684,-106.806582,71.8,46365,32.8,55.88%
36013,NY,Chautauqua County,42.304216,-79.407595,127.2,45689,35.9,65.28%
36021,NY,Columbia County,42.247729,-73.626805,99.4,64916,30.5,50.00%
36043,NY,Herkimer County,43.461635,-74.894694,45.7,53168,37,84.00%
36049,NY,Lewis County,43.786397,-75.442617,21.3,52660,46.1,65.62%
36053,NY,Madison County,42.910026,-75.663575,112.2,59114,34,52.00%
36105,NY,Sullivan County,41.720176,-74.76468,80.1,51985,33.6,59.38%
37021,NC,Buncombe County,35.609371,-82.530426,362.9,53960,23.4,78.26%
37053,NC,Currituck County,36.372174,-75.941224,89.9,64426,27.7,55.56%
37083,NC,Halifax County,36.251438,-77.644842,75.5,36760,37.8,60.00%
37127,NC,Nash County,35.965945,-77.987555,177.3,50122,33.6,61.96%
37137,NC,Pamlico County,35.147462,-76.665069,39.1,46447,30.3,57.14%
37163,NC,Sampson County,34.990575,-78.371382,67.1,42807,33.3,51.52%
37171,NC,Surry County,36.415416,-80.686463,138.4,46342,29.3,71.88%
37183,NC,Wake County,35.789846,-78.650624,1078.8,80169,15.4,88.41%
39001,OH,Adams County,38.841681,-83.474173,48.9,42154,43.6,50.00%
39023,OH,Clark County,39.917032,-83.783676,348,50089,36.8,77.57%
39057,OH,Greene County,39.687479,-83.894894,390.5,68380,24.4,58.90%
39059,OH,Guernsey County,40.056665,-81.497875,76.8,44623,44.1,94.74%
39063,OH,Hancock County,41.000471,-83.666034,140.7,61579,36.2,69.57%
39071,OH,Highland County,39.184488,-83.603668,78.8,49161,45.4,80.00%
39109,OH,Miami County,40.053326,-84.228414,252.1,59922,36.8,61.36%
39111,OH,Monroe County,39.725969,-81.090658,32.1,46314,52.2,56.25%
39135,OH,Preble County,39.737906,-84.645358,99.7,53904,43.6,53.33%
39149,OH,Shelby County,40.33668,-84.204143,121.2,63398,42.5,80.00%
41007,OR,Clatsop County,46.024509,-123.705014,44.7,53806,25.1,80.00%
41041,OR,Lincoln County,44.641076,-123.911183,47,49265,27.5,76.92%
42005,PA,Armstrong County,40.812379,-79.464128,105.5,49436,48,59.46%
42015,PA,Bradford County,41.791495,-76.502124,54.6,50978,46.7,76.09%
42025,PA,Carbon County,40.917833,-75.709428,171.1,53901,45.5,63.08%
42059,PA,Greene County,39.848983,-80.225694,67.2,50956,46.4,55.00%
42065,PA,Jefferson County,41.130287,-78.999044,69.3,46751,50.1,95.24%
42127,PA,Wayne County,41.646589,-75.292485,72.8,53602,43.8,82.05%
44009,RI,Washington County,41.401162,-71.617612,385.7,86715,22.7,58.03%
45003,SC,Aiken County,33.549317,-81.63387,149.5,52633,32.2,80.56%
45009,SC,Bamberg County,33.203021,-81.053161,40.6,36230,33.2,75.00%
45011,SC,Barnwell County,33.26068,-81.433753,41.2,38131,35.7,50.00%
45039,SC,Fairfield County,34.395669,-81.127001,34.9,39522,39.3,85.19%
45047,SC,Greenwood County,34.155796,-82.127876,153.2,43879,30.8,66.18%
45049,SC,Hampton County,32.778323,-81.143362,37.7,35871,46.9,63.16%
45067,SC,Marion County,34.080701,-79.362131,67.6,34365,39,66.67%
45071,SC,Newberry County,34.28973,-81.600053,59.5,48029,36,66.67%
46015,SD,Brule County,43.72988,-99.092941,6.4,49732,30.7,50.00%
46053,SD,Gregory County,43.179094,-99.202158,4.2,40583,34.4,57.14%
46125,SD,Turner County,43.30867,-97.150185,13.5,62792,33.1,69.23%
46129,SD,Walworth County,45.427605,-100.027856,7.7,48394,38.5,75.00%
46135,SD,Yankton County,43.006607,-97.388339,43.1,56535,33,55.56%
47111,TN,Macon County,36.537838,-86.001231,72.4,42265,46.2,63.64%
47139,TN,Polk County,35.109437,-84.541112,38.7,41968,39.1,77.27%
47181,TN,Wayne County,35.242687,-87.819703,23.2,38879,44.4,77.78%
48019,TX,Bandera County,29.755748,-99.260682,25.9,53008,31.8,75.00%
48055,TX,Caldwell County,29.840422,-97.631097,69.8,52588,37.3,60.00%
48069,TX,Castro County,34.533621,-102.258786,9,45689,32.2,50.00%
48071,TX,Chambers County,29.703933,-94.668875,58.8,89513,29.1,63.64%
48073,TX,Cherokee County,31.843859,-95.156504,48.3,43483,31.5,69.23%
48153,TX,Floyd County,34.073731,-101.303274,6.5,39891,27.9,66.67%
48203,TX,Harrison County,32.547993,-94.374425,72.9,50131,34.3,53.33%
48403,TX,Sabine County,31.3433,-93.851913,22,40641,39,66.67%
48467,TX,Van Zandt County,32.558948,-95.836391,62.4,51152,33.3,50.00%
49037,UT,San Juan County,37.623064,-109.78932,1.9,42982,30.6,50.00%
50009,VT,Essex County,44.724021,-71.732736,9.5,43671,45.5,80.00%
50013,VT,Grand Isle County,44.801788,-73.300758,85.2,67746,28.1,60.00%
51009,VA,Amherst County,37.630362,-79.147848,68.3,50580,35.7,60.00%
51011,VA,Appomattox County,37.370725,-78.81094,44.9,51131,34.5,62.50%
51033,VA,Caroline County,38.030319,-77.352348,54.1,67335,37.5,79.17%
51047,VA,Culpeper County,38.48593,-77.956476,123.1,72111,30.2,53.57%
51053,VA,Dinwiddie County,37.073498,-77.635492,55.6,57257,37.4,67.86%
51063,VA,Floyd County,36.931438,-80.350309,40.2,48315,33.5,50.00%
51065,VA,Fluvanna County,37.830606,-78.284445,89.8,73463,24.1,70.83%
51089,VA,Henry County,36.620593,-79.980584,141.6,36471,34.3,80.00%
51107,VA,Loudoun County,39.08113,-77.638857,605.8,140382,12.4,60.32%
51109,VA,Louisa County,37.971681,-77.959178,66.8,63714,33.9,78.57%
51111,VA,Lunenburg County,36.945757,-78.242313,29.9,41421,39.8,70.00%
51139,VA,Page County,38.623751,-78.490471,77.3,49073,44.3,63.64%
51149,VA,Prince George County,37.187326,-77.220993,134.7,68133,32.6,51.35%
51165,VA,Rockingham County,38.511257,-78.876307,89.9,61375,34.8,79.41%
51169,VA,Scott County,36.712778,-82.613627,43.3,40161,37.2,57.89%
51510,VA,Alexandria city,38.818343,-77.082026,9314.3,99425,12,60.87%
51650,VA,Hampton city,37.04803,-76.297149,2673.2,54763,28.2,73.21%
51685,VA,Manassas Park city,38.768991,-77.448681,5633.1,77032,23.7,66.67%
51720,VA,Norton city,36.931549,-82.625996,529.1,34442,24.4,50.00%
51735,VA,Poquoson city,37.12836,-76.303534,793.3,96057,26,66.67%
53007,WA,Chelan County,47.859892,-120.618543,24.8,57243,27.2,79.41%
53017,WA,Douglas County,47.735866,-119.69588,21.1,65912,29,88.46%
53019,WA,Ferry County,48.437246,-118.517074,3.4,40468,34.5,50.00%
53025,WA,Grant County,47.213633,-119.467788,33.3,53688,26.6,67.69%
53027,WA,Grays Harbor County,47.142786,-123.827043,38.3,48763,32.9,54.17%
53051,WA,Pend Oreille County,48.543877,-117.232183,9.3,49750,30.2,50.00%
54005,WV,Boone County,38.022838,-81.713314,49.1,38110,50.6,90.48%
54017,WV,Doddridge County,39.263482,-80.701147,25.7,44725,45.1,90.00%
54019,WV,Fayette County,38.030933,-81.086051,69.6,37867,43,55.32%
54021,WV,Gilmer County,38.915865,-80.849409,25.7,38173,44.2,66.67%
54039,WV,Kanawha County,38.328061,-81.523522,214.1,41926,37.5,75.00%
54089,WV,Summers County,37.656003,-80.856315,38.6,34768,44.1,66.67%
54097,WV,Upshur County,38.902537,-80.231335,68.4,41213,48,85.71%
55051,WI,Iron County,46.32655,-90.261299,7.8,44130,33.8,50.00%
55055,WI,Jefferson County,43.013807,-88.773986,150.4,65831,33.8,52.50%
55069,WI,Lincoln County,45.338319,-89.742082,32.7,56645,38.5,50.00%
55103,WI,Richland County,43.376199,-90.435693,30.7,53050,40.9,50.00%
55141,WI,Wood County,44.461413,-90.038825,94.2,55879,37.7,71.43%
